Kota Asal,Kota Tujuan,Jenis Kendaraan,Nama Kendaraan,Kelas,Jam Berangkat,Jam Tiba,Harga,Durasi Perjalanan
Bali,Padang,Pesawat,Super Air Jet,Normal,11:00,16:25,2713493,385
Bali,Surabaya,Pesawat,Citilink,Normal,12:15,20:05,2651587,530
Bali,Surabaya,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,08:00,14:35,2636518,455
Bali,Surabaya,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,11:00,14:35,2636518,275
Bali,Surabaya,Pesawat,Super Air Jet + Lion Air,Normal,08:00,16:10,2535378,550
Bali,Surabaya,Pesawat,Super Air Jet + Lion Air,Normal,11:00,16:10,2535378,370
Bali,Surabaya,Pesawat,Super Air Jet + Lion Air,Normal,12:00,16:10,2535378,310
Bali,Surabaya,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,08:00,16:40,2508427,580
Bali,Surabaya,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,11:00,16:40,2508427,400
Bali,Surabaya,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,12:00,16:40,2508427,340
Bali,Surabaya,Pesawat,Pelita Air,Normal,12:55,19:10,2276180,435
Bali,Surabaya,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,08:00,12:40,2701658,340
Bali,Surabaya,Pesawat,Lion Air,Normal,10:30,16:10,2243954,400
Bali,Surabaya,Pesawat,Wings Air + Lion Air,Normal,08:00,10:20,2012300,200
Bali,Surabaya,Pesawat,Wings Air + Lion Air,Normal,08:00,18:10,1934600,670
Bali,Surabaya,Pesawat,Garuda Indonesia,Normal,18:10,18:20,835648,70
Bali,Surabaya,Pesawat,Citilink,Normal,16:10,16:15,786782,65
Bali,Surabaya,Pesawat,Citilink,Normal,14:50,14:55,786782,65
Bali,Surabaya,Pesawat,Citilink,Normal,07:00,07:05,786782,65
Bali,Surabaya,Pesawat,Super Air Jet,Normal,08:40,08:55,770439,75
Bali,Surabaya,Pesawat,Batik Air Indonesia,Normal,19:50,20:05,760711,75
Bali,Surabaya,Pesawat,Lion Air,Normal,11:05,11:20,746992,75
Bali,Surabaya,Pesawat,Lion Air,Normal,07:00,07:15,742219,75
Bali,Surabaya,Pesawat,Wings Air + Lion Air,Normal,08:00,14:00,2012300,420
Bali,Surabaya,Pesawat,Batik Air Indonesia,Normal,13:40,17:55,2882426,315
Bali,Surabaya,Pesawat,Super Air Jet + Batik Air Indonesia,Normal,08:00,11:30,3022882,270
Bali,Medan,Pesawat,Citilink,Normal,20:00,08:10,2527595,790
Bali,Makassar,Pesawat,Lion Air,Normal,11:05,16:30,1849535,325
Bali,Makassar,Pesawat,Lion Air,Normal,11:05,15:05,1849535,240
