Nama,Harga,Skor Gizi
Air Mineral,5000,0
Kopi,15000,1.06
Mie Instan,20000,205.2
Teh Botol,6000,13.5
Jus Jeruk,10000,19.2
Soda,12000,19.14
Es Teh Manis,8000,15.34
Popcorn,15000,179.8
Roti Tawar Isi,12000,140.36
Bubur Ayam,25000,77.32
Paket Burger,40000,160.4
Salad Buah,30000,23.12
Pisang Goreng,10000,86.82
Keripik Kentang,12000,267.6
Ayam Goreng Tepung,35000,123.2
Donat,15000,197.7
Yogurt,20000,23.98
Sup Ayam,25000,26.3
Sate Ayam,30000,92.2
Nasi Goreng,40000,135.7
Martabak Mini,15000,131.8
Bakso,30000,73.1
Pop Mie,15000,205.2
